"id","name","nation","pos","club","rating","rarity"
"216","Vinícius Júnior","Brazil","FW","Real Madrid","92","icon"
"680","Mohamed Salah","Egypt","FW","Liverpool","89","icon"
"806","Rodri","Spain","MF","Manchester City","90","icon"
"852","Kylian Mbappé","France","FW","Real Madrid","92","icon"
"903","Erling Haaland","Norway","FW","Manchester City","94","icon"
"1203","Jude Bellingham","England","MF","Real Madrid","90","legend"
"1207","Harry Kane","England","FW","Bayern Munich","94","legend"
"809","Lamine Yamal","Spain","FW","Barcelona","94","legend"
"210","Alisson","Brazil","GK","Liverpool","87","legend"
"495","Florian Wirtz","Germany","MF","Liverpool","88","legend"
"591","Alexander Isak","Sweden","FW","Liverpool","88","legend"
"635","Thibaut Courtois","Belgium","GK","Real Madrid","90","legend"
"829","Federico Valverde","Uruguay","MF","Real Madrid","90","legend"
"984","Lionel Messi","Argentina","FW","Inter Miami CF","91","legend"
"1119","Bernardo Silva","Portugal","MF","Manchester City","87","legend"
"1209","Bukayo Saka","England","FW","Arsenal","91","legend"
"265","Achraf Hakimi","Morocco","DF","Paris Saint-Germain","91","legend"
"488","Jamal Musiala","Germany","MF","Bayern Munich","89","legend"
"560","Virgil van Dijk","Netherlands","DF","Liverpool","87","legend"
"599","Viktor Gyökeres","Sweden","FW","Arsenal","89","legend"
"648","Kevin De Bruyne","Belgium","MF","Napoli","89","legend"
"904","Martin Ødegaard","Norway","MF","Arsenal","89","legend"
"212","Gabriel Magalhães","Brazil","DF","Arsenal","88","legend"
"220","Raphinha","Brazil","FW","Barcelona","90","legend"
"810","Pedri","Spain","MF","Barcelona","89","legend"
"847","Jules Koundé","France","DF","Barcelona","88","legend"
"859","William Saliba","France","DF","Arsenal","88","legend"
"996","Lautaro Martínez","Argentina","FW","Inter Milan","88","legend"
"1110","Rúben Dias","Portugal","DF","Manchester City","88","legend"
"1166","Joško Gvardiol","Croatia","DF","Manchester City","88","legend"
"1202","Declan Rice","England","MF","Arsenal","91","legend"
"82","Kim Min-jae","South Korea","DF","Bayern Munich","87","legend"
"383","Hakan Çalhanoğlu","Turkey","MF","Inter Milan","87","legend"
"484","Joshua Kimmich","Germany","MF","Bayern Munich","87","legend"
"570","Tijjani Reijnders","Netherlands","MF","Manchester City","87","legend"
"791","David Raya","Spain","GK","Arsenal","88","legend"
"807","Nico Williams","Spain","FW","Athletic Bilbao","87","legend"
"849","Ousmane Dembélé","France","FW","Paris Saint-Germain","87","legend"
"858","Mike Maignan","France","GK","Milan","87","legend"
"983","Julián Alvarez","Argentina","FW","Atlético Madrid","87","legend"
"997","Emiliano Martínez","Argentina","GK","Aston Villa","87","legend"
"1076","Luis Díaz","Colombia","FW","Bayern Munich","87","legend"
"1120","Bruno Fernandes","Portugal","MF","Manchester United","87","legend"
"149","Alphonso Davies","Canada","DF","Bayern Munich","86","legend"
"188","Manuel Akanji","Switzerland","DF","Inter Milan","86","legend"
"213","Marquinhos","Brazil","DF","Paris Saint-Germain","86","legend"
"410","Christian Pulisic","United States","FW","Milan","86","legend"
"475","Moisés Caicedo","Ecuador","MF","Chelsea","86","legend"
"480","Antonio Rüdiger","Germany","DF","Real Madrid","86","legend"
"808","Martín Zubimendi","Spain","MF","Arsenal","86","legend"
"850","Aurélien Tchouaméni","France","MF","Real Madrid","86","legend"
"851","Marcus Thuram","France","FW","Inter Milan","86","legend"
"857","Ibrahima Konaté","France","DF","Liverpool","86","legend"
"994","Alexis Mac Allister","Argentina","MF","Liverpool","86","legend"
